filename,transcript,korean,gender,speed,pitch
0000.wav,einer digitalen Lust,한 디지털의 욕구의,female,0.899,1.093
0001.wav,eines tiefen Koffers,한 깊은 여행 가방의,female,0.851,1.076
0002.wav,dieser willkommene Anfang,이 환영받는 시작이,female,0.94,1.103
0003.wav,eines leisen Texts,한 조용한 텍스트의,male,0.801,0.902
0004.wav,diese mögliche Ärztin,이 가능한 여의사를,male,0.897,0.921
0005.wav,diese langweiligen Ausbildungen,이 지루한 교육들이,male,0.843,0.939
0006.wav,ein dickes Plakat,한 뚱뚱한 포스터를,male,0.949,0.911
0007.wav,dieses billige Öl,이 싼 기름을,male,0.827,0.925
0008.wav,ein fettes E-Book,한 기름진 전자책이,male,0.893,0.912
0009.wav,einem romantischen Blog,한 낭만적인 블로그에게,female,0.898,1.093
0010.wav,diese starken Laptops,이 강한 노트북들이,male,0.886,0.911
0011.wav,eine schädliche Sonne,한 해로운 태양을,male,0.834,0.908
0012.wav,dieses fremde Licht,이 낯선 빛을,female,0.801,1.09
0013.wav,dieses preiswerten Mobiltelefons,이 가성비 좋은 휴대폰의,male,0.89,0.904
0014.wav,diese bequemen Bäder,이 편안한 욕실들이,female,0.949,1.075
0015.wav,einer schnellen Übersetzung,한 빠른 번역에게,female,0.87,1.11
0016.wav,diese starken Zahlen,이 강한 숫자들을,male,0.829,0.921
0017.wav,dieser gefährlichen Vereine,이 위험한 동호회들의,male,0.816,0.897
0018.wav,diesem beliebten Gerät,이 인기 있는 장치에게,female,0.898,1.1
0019.wav,eines freien Wohnzimmers,한 자유로운 거실의,male,0.817,0.906
0020.wav,diese praktische Firma,이 실용적인 회사를,male,0.922,0.912
0021.wav,dieser leren Torte,이 텅 빈 케이크에게,male,0.927,0.883
0022.wav,diesem sauberen Chef,이 깨끗한 상사에게,male,0.936,0.893
0023.wav,eine gute Haltestelle,한 좋은 정류장이,female,0.941,1.118
0024.wav,eine notwendige Mail,한 필요한 메일이,male,0.868,0.91
0025.wav,diesen offenen Clubs,이 열린 클럽들에게,male,0.943,0.936
0026.wav,eine automatische Kette,한 자동의 목걸이가,female,0.855,1.1
0027.wav,einen willkommenen Laden,한 환영받는 상점을,male,0.851,0.899
0028.wav,einem weiten Pullover,한 넓은 풀오버에게,male,0.87,0.886
0029.wav,eine traurige Schwester,한 슬픈 자매를,male,0.894,0.901
0030.wav,ein direktes Rezept,한 직접적인 레시피가,male,0.869,0.882
0031.wav,diese sichere Auskunft,이 안전한 정보를,female,0.903,1.071
0032.wav,diese frühen Farben,이 이른 색들을,male,0.891,0.917
0033.wav,diesem schmutzigen Keller,이 더러운 지하실에게,female,0.927,1.107
0034.wav,einem heißen Fußball,한 뜨거운 축구에게,female,0.908,1.099
0035.wav,dieses praktischen Fans,이 실용적인 팬의,female,0.929,1.101
0036.wav,eine nützliche E-Mail,한 유용한 이메일을,female,0.917,1.126
0037.wav,eine schlechte Frage,한 나쁜 질문을,male,0.89,0.931
0038.wav,ein geborener Besuch,한 태어난 방문이,female,0.928,1.064
0039.wav,eines klaren Ladens,한 명확한 상점의,female,0.884,1.067
0040.wav,einer dunklen Rezeption,한 어두운 리셉션의,male,0.933,0.894
0041.wav,eine harte Schokolade,한 딱딱한 초콜릿을,male,0.877,0.902
0042.wav,diese normalen Ziele,이 보통의 목표들이,female,0.829,1.108
0043.wav,einem praktischen Auge,한 실용적인 눈에게,female,0.92,1.122
0044.wav,eine offene Lampe,한 열린 램프가,female,0.914,1.126
0045.wav,dieser fantastischen Kundinnen,이 환상적인 여고객들의,male,0.913,0.922
0046.wav,ein falsches Beispiel,한 틀린 예시를,male,0.888,0.925
0047.wav,diesen wahren Informationen,이 진실한 정보들에게,male,0.945,0.94
0048.wav,einer falschen Angst,한 틀린 두려움에게,male,0.806,0.888
0049.wav,eine sportliche Person,한 운동을 좋아하는 사람을,male,0.862,0.917
0050.wav,diese richtigen Gabeln,이 올바른 포크들이,male,0.876,0.881
0051.wav,dieser sympathischen Schwestern,이 호감 가는 자매들의,male,0.853,0.909
0052.wav,dieser gefährlichen Sendungn,이 위험한 방송들의,male,0.878,0.895
0053.wav,diese kleinen Touren,이 작은 여행들이,female,0.842,1.119
0054.wav,eine späte Veranstaltung,한 늦은 행사가,female,0.817,1.105
0055.wav,diese kleinen Kühlschränke,이 작은 냉장고들이,male,0.812,0.91
0056.wav,dieser schweren Haare,이 무거운 머리카락들의,male,0.929,0.894
0057.wav,ein internationales Beispiel,한 국제적인 예시가,female,0.806,1.072
0058.wav,dieser freie Fan,이 자유로운 팬이,male,0.88,0.923
0059.wav,diese möglichen Schwimmbäder,이 가능한 수영장들이,male,0.827,0.915
0060.wav,einem dicken Schmerz,한 뚱뚱한 통증에게,female,0.932,1.079
0061.wav,diese langsamen Satze,이 느린 문장들이,male,0.864,0.882
0062.wav,diesem neuen Lied,이 새로운 노래에게,male,0.85,0.92
0063.wav,ein freiwilliger Gast,한 자발적인 손님이,male,0.896,0.929
0064.wav,diese gefährlichen Nummern,이 위험한 번호들이,male,0.865,0.883
0065.wav,ein berühmtes Ende,한 유명한 끝을,female,0.905,1.103
0066.wav,eine falsche Hochzeit,한 틀린 결혼식을,female,0.947,1.082
0067.wav,diese große Lösung,이 큰 해결책을,male,0.804,0.897
0068.wav,diesen sicheren Touristen,이 안전한 관광객을,female,0.879,1.084
0069.wav,eine schädliche Information,한 해로운 정보가,male,0.868,0.909
0070.wav,eine kalte Pizza,한 차가운 피자가,male,0.897,0.93
0071.wav,eines späten Büros,한 늦은 사무실의,male,0.816,0.92
0072.wav,einer richtigen Sendung,한 올바른 방송에게,male,0.814,0.934
0073.wav,diese superen Tablets,이 훌륭한 태블릿들이,male,0.814,0.901
0074.wav,einer kurzen Zeit,한 짧은 시간에게,male,0.904,0.915
0075.wav,dieses direkte Radio,이 직접적인 라디오를,female,0.832,1.095
0076.wav,diesen fetten Stiefeln,이 기름진 부츠들에게,male,0.916,0.884
0077.wav,dieser alten Strände,이 오래된 해변들의,male,0.948,0.91
0078.wav,diese komischen Kurse,이 이상한 강의들을,female,0.933,1.069
0079.wav,dieses fantastischen Zuckers,이 환상적인 설탕의,male,0.801,0.913
0080.wav,einem schaden Salat,한 아쉬운 샐러드에게,male,0.873,0.92
0081.wav,einem internationalen Tennis,한 국제적인 테니스에게,female,0.91,1.114
0082.wav,eines langweiligen Paars,한 지루한 한 쌍의,male,0.915,0.933
0083.wav,diese hohen Nächte,이 높은 밤들이,female,0.904,1.112
0084.wav,ein schwerer Stress,한 무거운 스트레스가,male,0.89,0.892
0085.wav,eines großen Bekannten,한 큰 지인의,female,0.834,1.071
0086.wav,eines klaren Vereins,한 명확한 동호회의,male,0.932,0.905
0087.wav,eines internationalen Papiers,한 국제적인 종이의,male,0.813,0.924
0088.wav,ein enges Thema,한 좁은 주제를,male,0.932,0.884
0089.wav,einem bösen Kontakt,한 화난 연락에게,male,0.825,0.924
0090.wav,dieser frühen Grüße,이 이른 인사들의,female,0.935,1.118
0091.wav,dieses schönen Worts,이 아름다운 단어의,female,0.87,1.072
0092.wav,eine schwierige Ausstellung,한 어려운 전시회를,male,0.945,0.882
0093.wav,dieses böse Interview,이 화난 인터뷰를,female,0.82,1.078
0094.wav,diesem privaten Marktplatz,이 개인적인 시장 광장에게,male,0.882,0.885
0095.wav,ein leres Ausland,한 텅 빈 해외를,female,0.83,1.084
0096.wav,diesen nützlichen Paaren,이 유용한 한 쌍들에게,male,0.922,0.901
0097.wav,diese fetten Kühlschränke,이 기름진 냉장고들이,female,0.848,1.123
0098.wav,ein kostenloses Auto,한 무료의 자동차가,male,0.948,0.883
0099.wav,diese leisen Kirchen,이 조용한 교회들을,female,0.863,1.066
0100.wav,eine schädliche Gabel,한 해로운 포크를,female,0.838,1.073
0101.wav,diesem pünktlichen Regen,이 시간을 지키는 비에게,male,0.818,0.897
0102.wav,dieser gefährlichen Jacke,이 위험한 재킷의,male,0.945,0.933
0103.wav,eine schnelle Kunst,한 빠른 예술을,female,0.899,1.125
0104.wav,diese heiße Marmelade,이 뜨거운 잼을,male,0.877,0.888
0105.wav,diese lange Nummer,이 긴 번호를,female,0.831,1.106
0106.wav,ein langsamer Balkon,한 느린 발코니가,female,0.879,1.119
0107.wav,einem fetten Basketball,한 기름진 농구에게,female,0.841,1.11
0108.wav,einen gleichen Titel,한 같은 제목을,female,0.815,1.12
0109.wav,diese kalten Hotels,이 차가운 호텔들이,female,0.896,1.065
0110.wav,dieser normalen Anzeige,이 보통의 광고에게,female,0.846,1.076
0111.wav,diese tollen Schuhe,이 멋진 신발들이,male,0.923,0.889
0112.wav,einem notwendigen Park,한 필요한 공원에게,male,0.891,0.938
0113.wav,dieses normale Bett,이 보통의 침대를,male,0.845,0.895
0114.wav,diesem möglichen Tennis,이 가능한 테니스에게,male,0.928,0.929
0115.wav,diesem schlimmen Kühlschrank,이 심각한 냉장고에게,male,0.892,0.931
0116.wav,eines roten Schalters,한 빨간 카운터의,male,0.865,0.908
0117.wav,ein romantisches Parfum,한 낭만적인 향수를,male,0.941,0.92
0118.wav,dieser schlimmen Kartoffel,이 심각한 감자의,female,0.901,1.087
0119.wav,diese fremden Sonnen,이 낯선 태양들이,female,0.809,1.107
0120.wav,dieses leren Tennisses,이 텅 빈 테니스의,male,0.818,0.927
0121.wav,eine besetzte Zeitung,한 사용 중인 신문을,female,0.802,1.121
0122.wav,eine alte Sonne,한 오래된 태양이,female,0.92,1.11
0123.wav,dieses direkten Gartens,이 직접적인 정원의,female,0.916,1.073
0124.wav,dieser langsamen Wurst,이 느린 소시지의,male,0.91,0.886
0125.wav,diesem wunderbaren Wort,이 훌륭한 단어에게,female,0.925,1.074
0126.wav,einem komischen Drucker,한 이상한 프린터에게,male,0.802,0.896
0127.wav,diese leisen Fragen,이 조용한 질문들이,female,0.809,1.061
0128.wav,eine leichte Zahl,한 가벼운 숫자를,female,0.846,1.103
0129.wav,diese schriftliche Anmeldung,이 서면의 등록을,female,0.846,1.127
0130.wav,dieser komische Geburtstag,이 이상한 생일이,female,0.819,1.069
0131.wav,ein digitaler Fotoapparat,한 디지털의 카메라가,female,0.933,1.096
0132.wav,eine geborene Zitrone,한 태어난 레몬을,female,0.814,1.062
0133.wav,diesen typischen E-Books,이 전형적인 전자책들에게,male,0.905,0.901
0134.wav,ein leiser Stress,한 조용한 스트레스가,male,0.853,0.891
0135.wav,einer dringenden Party,한 긴급한 파티의,male,0.945,0.938
0136.wav,diese fremde Farbe,이 낯선 색을,female,0.802,1.117
0137.wav,diesen ruhigen Träumen,이 조용한 꿈들에게,female,0.884,1.097
0138.wav,diese aktuelle Ruhe,이 최신의 평온이,female,0.835,1.106
0139.wav,diese schädlichen Apparate,이 해로운 기기들을,female,0.851,1.072
0140.wav,einer bunten Marmelade,한 다채로운 잼에게,male,0.903,0.923
0141.wav,diese normalen Wochen,이 보통의 주들이,female,0.806,1.103
0142.wav,einer geborenen Lösung,한 태어난 해결책에게,male,0.82,0.918
0143.wav,ein günstiges Glas,한 저렴한 유리잔을,female,0.839,1.122
0144.wav,diesen sicheren Festen,이 안전한 축제들에게,male,0.889,0.935
0145.wav,diese willkommenen Ankunften,이 환영받는 도착들을,male,0.937,0.898
0146.wav,diese schriftliche Führung,이 서면의 안내를,female,0.805,1.104
0147.wav,diese bösen Nummern,이 화난 번호들이,male,0.913,0.904
0148.wav,diesen falschen Personen,이 틀린 사람들에게,male,0.847,0.938
0149.wav,dieses privaten Gelds,이 개인적인 돈의,male,0.83,0.922
0150.wav,dieses eleganten E-Books,이 우아한 전자책의,female,0.928,1.06
0151.wav,diese leichte Idee,이 가벼운 아이디어를,female,0.865,1.087
0152.wav,eines preiswerten Kuchens,한 가성비 좋은 케이크의,female,0.804,1.071
0153.wav,einer normalen Mannschaft,한 보통의 팀의,male,0.807,0.896
0154.wav,dieser schlechten Touristin,이 나쁜 여관광객의,female,0.841,1.115
0155.wav,einer romantischen Heizung,한 낭만적인 난방의,male,0.937,0.909
0156.wav,einem bequemen Rucksack,한 편안한 배낭에게,female,0.866,1.126
0157.wav,einem teuren Plakat,한 비싼 포스터에게,female,0.818,1.067
0158.wav,eines billigen Rads,한 싼 바퀴의,male,0.82,0.926
0159.wav,diese schädlichen Kirchen,이 해로운 교회들을,male,0.918,0.884
0160.wav,einer romantischen Ahnung,한 낭만적인 짐작에게,female,0.859,1.127
0161.wav,dieser teure Basketball,이 비싼 농구가,female,0.802,1.072
0162.wav,dieser typischen Sehenswürdigkeit,이 전형적인 관광 명소의,female,0.934,1.093
0163.wav,eines schlimmen Endes,한 심각한 끝의,male,0.901,0.932
0164.wav,diesen bösen Kursen,이 화난 강의들에게,female,0.858,1.128
0165.wav,eine natürliche CD,한 자연적인 CD를,male,0.903,0.915
0166.wav,diesem sportlichen Chef,이 운동을 좋아하는 상사에게,male,0.848,0.939
0167.wav,einem bunten Jungen,한 다채로운 소년에게,female,0.921,1.091
0168.wav,diesem frischen Hähnchen,이 신선한 닭고기에게,female,0.945,1.104
